ReportingCountryMnemonic,NominatorType,PreEpidemicThreshold,PostEpidemicThreshold,MeanStartWeek(ofSeason),MeanStartWeek(weekNr),MeanLength,NumberOfSeasons,CI40,CI90,CI97.5,IsUsageApproved
AM,ILI,1299.07,2327.38,10,NA,10,5,53.8594887329808,5167.38896110506,38842.0890579147,0
AT,ILI,709.63,1281.82,2,NA,16,5,1191.36122556238,1769.00307217204,2106.7450484159,0
AZ,ILI,4311.24,2424.2,12,NA,13,5,294.44856791148,3389.75057653191,9981.38635280646,0
BA,ILI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,ILI,121.64,100.86,16,NA,9,5,511.723532344558,862.25640367477,1085.90591604362,0
BY,ILI,9.68,6.58,7,NA,15,5,9.75414582766616,17.7963652195444,23.2142109374517,0
CH,ILI,85.6,72.06,12,NA,14,5,176.832169626471,341.051541611976,455.934024671387,0
CY,ILI,3.26,3.07,12,NA,13,5,6.46637551547973,11.1222773569109,14.1350469470495,0
CZ,ILI,37.95,41.05,17,NA,10,5,146.533866233019,282.727006943968,378.028603235224,0
DK,ILI,65.97,43.82,16,NA,10,5,126.20158124627,217.507458515278,276.671942658626,0
EE,ILI,89.64,81.19,16,NA,13,5,161.351395540561,208.381155288102,233.32291944002,0
EL,ILI,518.81,429.88,14,NA,12,5,608.267641113202,1300.87538220139,1820.35150677449,0
ENG,ILI,9.69,9.42,9,NA,13,5,7.11885937027595,48.2557046935556,112.435858646611,0
ES,ILI,40.81,43.61,14,NA,10,5,193.887414463383,278.961171491304,327.624107440204,0
FI,ILI,90.46,140.59,14,NA,10,5,100.317091673592,1054.72627438668,2983.67355309618,0
FR,ILI,106.93,70.77,11,NA,8,5,169.239560416041,633.588070841964,1135.54165278205,0
GE,ILI,146.47,321.91,3,NA,13,5,260.84390011212,433.575306822583,542.756414384431,0
HR,ILI,10.86,23.13,14,NA,9,5,61.0281847069885,339.380011950719,724.500880416856,0
HU,ILI,141.98,124.94,16,NA,9,5,507.697704597002,891.220024239622,1142.87502513985,0
IE,ILI,17.41,15.99,14,NA,10,5,54.0861729561416,89.5795977116131,111.95914764144,0
IL,ILI,21.23,24.4,11,NA,11,5,27.4474032043918,313.089953099949,918.181459306401,0
IS,ILI,15.96,19.57,16,NA,12,5,14.5824661104452,242.141256482518,838.308242378996,0
IT,ILI,317.64,320.18,11,NA,12,5,535.262450004775,1628.2468210588,2662.37999911506,0
KG,ILI,6.53,20.72,7,NA,10,5,10.0041677310133,32.8824628562946,55.63886758764,0
KZ,ILI,36.4,53.77,10,NA,15,5,55.4514544216312,99.0989289128807,128.091354853858,0
LT,ILI,20.2,20.04,16,NA,9,5,106.470240373162,306.549456121197,489.209729236345,0
LU,ILI,2.06,1.18,15,NA,11,5,5.18935500809611,9.83610148759172,13.0487327985257,0
LV,ILI,36.8,53.46,16,NA,10,5,218.359470947049,419.38114242855,559.610211196898,0
MD,ILI,2.94,5.59,15,NA,9,5,7.84205993356563,48.5597090961099,108.70896804297,0
ME,ILI,20.01,15.36,16,NA,10,5,65.2470938353497,167.669062966956,254.461264506455,0
MK,ILI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,ILI,10.76,6.24,9,NA,15,5,7.21925305650442,16.9516278905639,24.7210084402626,0
NIR,ILI,13.07,13.43,9,NA,14,5,6.9904904714364,51.1800620734989,123.379719676195,0
NL,ILI,58.01,60.33,12,NA,15,5,114.66739986972,171.987463472277,205.737018315431,0
NO,ILI,62.21,65.23,14,NA,12,5,164.9567929379,246.594613594088,294.551504460443,0
PL,ILI,413.97,321.63,8,NA,12,5,382.27288025466,824.117191866211,1157.29542959228,0
PT,ILI,21.32,18.31,13,NA,11,5,56.2106614854758,97.1978294917198,123.816614080358,0
RO,ILI,3.74,3.83,14,NA,10,5,4.90351223214103,30.1599449925029,67.3175126361214,0
RS,ILI,138.84,128.73,14,NA,9,5,156.62427183522,251.905740758417,310.782004005527,0
RU,ILI,0.78,0.83,11,NA,10,5,0.632244957474941,22.8429780319095,111.510844755635,0
SCT,ILI,12.38,17.07,13,NA,15,5,27.6520422140764,62.3670130719153,89.346729374895,0
SE,ILI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SI,ILI,9.77,9.97,15,NA,10,5,42.3466220470455,102.035320458925,150.508555461124,0
SK,ILI,184.32,252.06,16,NA,9,5,382.184366668926,2556.38540483911,5921.41716422551,0
TJ,ILI,1.05,175.85,3,NA,10,5,9.31636294668376,879.825032954148,6567.44001960099,0
TM,ILI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TR,ILI,353.01,531.96,6,NA,19,5,371.181427114263,834.764694261494,1194.36025361423,0
UA,ILI,915.33,542.48,15,NA,13,5,416.76006495873,1250.44497396984,2032.23300362712,0
UZ,ILI,74.82,54.41,16,NA,9,5,42.5099848867549,153.125444981333,269.799201378702,0
WLS,ILI,11.3,8.87,12,NA,13,5,21.0286844952995,42.8759193912477,58.7443712213518,0
XK,ILI,94,104.16,14,NA,11,5,147.664137890396,502.529689365473,863.477865306525,0
