ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
DK,ILI,W40,1,3.32290667856103,11.450999191475,39.4610487646749
DK,ILI,W41,2,13.2712065387332,18.9253573915053,26.9884393216892
DK,ILI,W42,3,8.60915692362761,13.4471735543228,21.0039703311489
DK,ILI,W43,4,13.6538083322433,18.6399385387152,25.4469156350017
DK,ILI,W44,5,18.0380607745072,24.2668850990812,32.6466198209214
DK,ILI,W45,6,23.2887499538513,30.0723252522659,38.8318285811867
DK,ILI,W46,7,18.2647702435856,24.8104257258544,33.7018871022653
DK,ILI,W47,8,16.0075982135261,23.6340791960625,34.8940354446039
DK,ILI,W48,9,18.4868799079095,28.447248228573,43.7740676528017
DK,ILI,W49,10,22.0147567345801,32.3672540064665,47.5880403562908
DK,ILI,W50,11,22.3478849839798,33.0973542253774,49.0173838600555
DK,ILI,W51,12,26.7416629391378,38.2448363378739,54.6962060601726
DK,ILI,W52,13,31.0084329599197,45.6255554009161,67.1330701661956
DK,ILI,W01,14,19.7159476220337,33.3733857498977,56.4914706492101
DK,ILI,W02,15,19.1500426152303,36.3153699194529,68.8670056189767
DK,ILI,W03,16,42.6894606277557,57.552044486838,77.5891233083755
DK,ILI,W04,17,45.9132593297093,70.8293657107895,109.266889788121
DK,ILI,W05,18,71.4632423835422,104.171965028589,151.851468474886
DK,ILI,W06,19,81.3009311384514,131.393539818211,212.350117817956
DK,ILI,W07,20,109.355083858275,145.14274854201,192.64232362193
DK,ILI,W08,21,117.400578811805,139.570867210969,165.927861439666
DK,ILI,W09,22,141.313466884081,171.729876041246,208.693134316302
DK,ILI,W10,23,97.5897064316327,132.702753737202,180.449572945209
DK,ILI,W11,24,69.3192337689215,99.5150602018126,142.864349020118
DK,ILI,W12,25,51.5505713705868,75.381719605372,110.229692893475
DK,ILI,W13,26,30.4502940002785,35.8948945145481,42.3130053259501
DK,ILI,W14,27,29.7873565912744,34.5870238529177,40.1600664139737
DK,ILI,W15,28,18.4213376132078,25.8823668314862,36.3652698227142
DK,ILI,W16,29,9.98636461388011,14.3567770593863,20.6398479829624
DK,ILI,W17,30,9.06242480394127,12.8786521083708,18.3019096673012
DK,ILI,W18,31,8.63961033805029,10.8659032947912,13.6658772551075
DK,ILI,W19,32,2.22820896324361,5.31262036263624,12.6666464335605
DK,ILI,W20,33,3.30740466748691,6.25360721525878,11.824257124379
