country,age_group,population
Belgium,0-4,587331
Belgium,5-14,1312693
Belgium,15-64,7428074
Belgium,65+,2373001
Bulgaria,0-4,287023
Bulgaria,5-14,638931
Bulgaria,15-64,4237243
Bulgaria,65+,1481952
Czechia,0-4,526328
Czechia,5-14,1120889
Czechia,15-64,6661806
Czechia,65+,2191100
Denmark,0-4,318122
Denmark,5-14,623568
Denmark,15-64,3749227
Denmark,65+,1234363
Germany,0-4,3856879
Germany,5-14,7799825
Germany,15-64,52518630
Germany,65+,19101034
Estonia,0-4,68176
Estonia,5-14,145583
Estonia,15-64,828933
Estonia,65+,278315
Ireland,0-4,293380
Ireland,5-14,669816
Ireland,15-64,3315655
Ireland,65+,794689
Greece,0-4,401121
Greece,5-14,987354
Greece,15-64,6526057
Greece,65+,2407692
Spain,0-4,1783210
Spain,5-14,4528071
Spain,15-64,31223074
Spain,65+,9963851
France,0-4,3307972
France,5-14,7684072
France,15-64,39458614
France,65+,14369794
Croatia,0-4,173187
Croatia,5-14,383772
Croatia,15-64,2523480
Croatia,65+,917250
Italy,0-4,2053505
Italy,5-14,5048505
Italy,15-64,37184174
Italy,65+,14499793
Cyprus,0-4,64653
Cyprus,5-14,135043
Cyprus,15-64,870086
Cyprus,65+,194597
Latvia,0-4,82994
Latvia,5-14,196564
Latvia,15-64,1132111
Latvia,65+,408430
Lithuania,0-4,131014
Lithuania,5-14,286763
Lithuania,15-64,1705772
Lithuania,65+,581711
Luxembourg,0-4,33814
Luxembourg,5-14,69089
Luxembourg,15-64,453174
Luxembourg,65+,102182
Hungary,0-4,496159
Hungary,5-14,954870
Hungary,15-64,6604712
Hungary,65+,2010669
Malta,0-4,23675
Malta,5-14,47155
Malta,15-64,359044
Malta,65+,106058
Netherlands,0-4,890492
Netherlands,5-14,1808411
Netherlands,15-64,11250408
Netherlands,65+,3695811
Austria,0-4,422536
Austria,5-14,865096
Austria,15-64,5849842
Austria,65+,1830929
Poland,0-4,1983226
Poland,5-14,4077649
Poland,15-64,26816239
Poland,65+,7697414
Portugal,0-4,413375
Portugal,5-14,909706
Portugal,15-64,6506155
Portugal,65+,2406466
Romania,0-4,1029982
Romania,5-14,2101295
Romania,15-64,12924260
Romania,65+,3674327
Slovenia,0-4,96152
Slovenia,5-14,218809
Slovenia,15-64,1345831
Slovenia,65+,458658
Slovakia,0-4,297761
Slovakia,5-14,602426
Slovakia,15-64,3849125
Slovakia,65+,993615
Finland,0-4,235703
Finland,5-14,584292
Finland,15-64,3408863
Finland,65+,1318863
Sweden,0-4,580550
Sweden,5-14,1263546
Sweden,15-64,6616061
Sweden,65+,2182990
Iceland,0-4,22780
Iceland,5-14,45764
Iceland,15-64,247947
Iceland,65+,60019
Liechtenstein,0-4,1820
Liechtenstein,5-14,3869
Liechtenstein,15-64,25935
Liechtenstein,65+,8087
Norway,0-4,273874
Norway,5-14,621294
Norway,15-64,3560689
Norway,65+,1038544
